Word,Level,Category,Details
answer,A2,communication,/american-english/words/usdetail/246
admit,B1,communication,/american-english/words/usdetail/95
advise,B1,communication,/american-english/words/usdetail/113
ask,B1,communication,/american-english/words/usdetail/330
ask,B1,communication,/american-english/words/usdetail/330
ask,B1,communication,/american-english/words/usdetail/330
call,B1,communication,/american-english/words/usdetail/741
argue,B2,communication,/american-english/words/usdetail/303
beg,B2,communication,/american-english/words/usdetail/499
beg,B2,communication,/american-english/words/usdetail/499
boast,B2,communication,/american-english/words/usdetail/580
call,B2,communication,/american-english/words/usdetail/741
claim,B2,communication,/american-english/words/usdetail/929
burglar,B2,crime,/american-english/words/usdetail/701
case,B2,crime,/american-english/words/usdetail/798
case,B2,crime,/american-english/words/usdetail/798
arrest,B2,crime,/american-english/words/usdetail/315
burglary,B2,crime,/american-english/words/usdetail/702
arrest,B1,crime,/american-english/words/usdetail/315
centimeter,A2,describing things,/american-english/words/usdetail/836
circle,A2,describing things,/american-english/words/usdetail/918
amount,B1,describing things,/american-english/words/usdetail/209
average,B1,describing things,/american-english/words/usdetail/397
bit,B1,describing things,/american-english/words/usdetail/548
bunch,B1,describing things,/american-english/words/usdetail/696
bar,B2,describing things,/american-english/words/usdetail/450
base,B2,describing things,/american-english/words/usdetail/462
block,B2,describing things,/american-english/words/usdetail/567
angle,C1,describing things,/american-english/words/usdetail/228
acre,C2,describing things,/american-english/words/usdetail/62
black,A2,describing things,/american-english/words/usdetail/552
accuracy,B2,describing things,/american-english/words/usdetail/49
color,A1,describing things,/american-english/words/usdetail/1009
blue,A2,describing things,/american-english/words/usdetail/575
brown,A2,describing things,/american-english/words/usdetail/673
average,B1,describing things,/american-english/words/usdetail/397
class,A1,education,/american-english/words/usdetail/935
blackboard,A2,education,/american-english/words/usdetail/553
branch,B2,education,/american-english/words/usdetail/628
chemistry,A2,education,/american-english/words/usdetail/889
class,A1,education,/american-english/words/usdetail/935
college,A2,education,/american-english/words/usdetail/1006
bean,A1,food and drink,/american-english/words/usdetail/483
caf矇,A1,food and drink,/american-english/words/usdetail/732
coffee shop,A1,food and drink,/american-english/words/usdetail/989
bar,A2,food and drink,/american-english/words/usdetail/450
barbecue,A2,food and drink,/american-english/words/usdetail/451
bottle,A2,food and drink,/american-english/words/usdetail/612
bowl,A2,food and drink,/american-english/words/usdetail/618
burger,A2,food and drink,/american-english/words/usdetail/700
cafeteria,A2,food and drink,/american-english/words/usdetail/733
can,A2,food and drink,/american-english/words/usdetail/751
bite,B2,food and drink,/american-english/words/usdetail/549
bun,B2,food and drink,/american-english/words/usdetail/695
cherry,B2,food and drink,/american-english/words/usdetail/890
casserole,C2,food and drink,/american-english/words/usdetail/801
bread,A1,food and drink,/american-english/words/usdetail/635
butter,A1,food and drink,/american-english/words/usdetail/719
beef,B1,food and drink,/american-english/words/usdetail/496
broccoli,B1,food and drink,/american-english/words/usdetail/667
chewing gum,B1,food and drink,/american-english/words/usdetail/895
apple,A1,food and drink,/american-english/words/usdetail/280
banana,A1,food and drink,/american-english/words/usdetail/441
breakfast,A1,food and drink,/american-english/words/usdetail/640
cake,A1,food and drink,/american-english/words/usdetail/735
cheese,A1,food and drink,/american-english/words/usdetail/885
chocolate,A1,food and drink,/american-english/words/usdetail/907
coffee,A1,food and drink,/american-english/words/usdetail/988
candy,A2,food and drink,/american-english/words/usdetail/759
carrot,A2,food and drink,/american-english/words/usdetail/793
cereal,A2,food and drink,/american-english/words/usdetail/840
cola,A2,food and drink,/american-english/words/usdetail/995
cabbage,B1,food and drink,/american-english/words/usdetail/728
coconut,B1,food and drink,/american-english/words/usdetail/985
appetite,C1,food and drink,/american-english/words/usdetail/277
cereal,C1,food and drink,/american-english/words/usdetail/840
casserole,C2,food and drink,/american-english/words/usdetail/801
barbecue,B1,food and drink,/american-english/words/usdetail/451
boil,B1,food and drink,/american-english/words/usdetail/583
beat,C1,food and drink,/american-english/words/usdetail/486
bake,A2,food and drink,/american-english/words/usdetail/430
burn,B1,food and drink,/american-english/words/usdetail/704
address,A1,homes and buildings,/american-english/words/usdetail/82
bathroom,A1,homes and buildings,/american-english/words/usdetail/474
bedroom,A1,homes and buildings,/american-english/words/usdetail/494
bookcase,A1,homes and buildings,/american-english/words/usdetail/595
chair,A1,homes and buildings,/american-english/words/usdetail/847
apartment,A2,homes and buildings,/american-english/words/usdetail/265
armchair,A2,homes and buildings,/american-english/words/usdetail/308
blanket,A2,homes and buildings,/american-english/words/usdetail/559
board,A2,homes and buildings,/american-english/words/usdetail/578
bookshelf,A2,homes and buildings,/american-english/words/usdetail/598
cabinet,A2,homes and buildings,/american-english/words/usdetail/730
castle,A2,homes and buildings,/american-english/words/usdetail/803
ceiling,A2,homes and buildings,/american-english/words/usdetail/824
center,A2,homes and buildings,/american-english/words/usdetail/834
balcony,B1,homes and buildings,/american-english/words/usdetail/435
bathtub,B1,homes and buildings,/american-english/words/usdetail/475
